number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
73;73;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Tomokazu Komiya;https://www.pokepedia.fr/images/0/0e/Carte_Expedition_73.png;https://images.pokemontcg.io/ecard1/73.png;ecard1
74;74;Uncommon;;Crocrodil;Croconaw;Pokémon;Water;159;Kagemaru Himeno;https://www.pokepedia.fr/images/e/ee/Carte_Expedition_74.png;https://images.pokemontcg.io/ecard1/74.png;ecard1
75;75;Uncommon;;Draco;Dragonair;Pokémon;Colorless;148;Kagemaru Himeno;https://www.pokepedia.fr/images/b/bb/Carte_Expedition_75.png;https://images.pokemontcg.io/ecard1/75.png;ecard1
76;76;Uncommon;;Elektek;Electabuzz;Pokémon;Lightning;125;Hiroaki Ito;https://www.pokepedia.fr/images/d/d7/Carte_Expedition_76.png;https://images.pokemontcg.io/ecard1/76.png;ecard1
77;77;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;Mitsuhiro Arita;https://www.pokepedia.fr/images/2/20/Carte_Expedition_77.png;https://images.pokemontcg.io/ecard1/77.png;ecard1
78;78;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Yuichi Sawayama;https://www.pokepedia.fr/images/d/d4/Carte_Expedition_78.png;https://images.pokemontcg.io/ecard1/78.png;ecard1
79;79;Uncommon;;Gravalanch;Graveler;Pokémon;Fighting;75;Aya Kusube;https://www.pokepedia.fr/images/1/1c/Carte_Expedition_79.png;https://images.pokemontcg.io/ecard1/79.png;ecard1
80;80;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Yukiko Baba;https://www.pokepedia.fr/images/0/08/Carte_Expedition_80.png;https://images.pokemontcg.io/ecard1/80.png;ecard1
81;81;Uncommon;;Kicklee;Hitmonlee;Pokémon;Fighting;106;Atsuko Nishida;https://www.pokepedia.fr/images/3/3a/Carte_Expedition_81.png;https://images.pokemontcg.io/ecard1/81.png;ecard1
82;82;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Miki Tanaka;https://www.pokepedia.fr/images/6/63/Carte_Expedition_82.png;https://images.pokemontcg.io/ecard1/82.png;ecard1
83;83;Uncommon;;Lippoutou;Jynx;Pokémon;Water;124;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/c/c4/Carte_Expedition_83.png;https://images.pokemontcg.io/ecard1/83.png;ecard1
84;84;Uncommon;;Kadabra;Kadabra;Pokémon;Psychic;64;Hajime Kusajima;https://www.pokepedia.fr/images/6/63/Carte_Expedition_84.png;https://images.pokemontcg.io/ecard1/84.png;ecard1
85;85;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Shin-ichi Yoshida;https://www.pokepedia.fr/images/9/90/Carte_Expedition_85.png;https://images.pokemontcg.io/ecard1/85.png;ecard1
86;86;Uncommon;;Magmar;Magmar;Pokémon;Fire;126;Miki Tanaka;https://www.pokepedia.fr/images/6/62/Carte_Expedition_86.png;https://images.pokemontcg.io/ecard1/86.png;ecard1
87;87;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Yuichi Sawayama;https://www.pokepedia.fr/images/5/56/Carte_Expedition_87.png;https://images.pokemontcg.io/ecard1/87.png;ecard1
88;88;Uncommon;;Roucoups;Pidgeotto;Pokémon;Colorless;17;Tomokazu Komiya;https://www.pokepedia.fr/images/1/1c/Carte_Expedition_88.png;https://images.pokemontcg.io/ecard1/88.png;ecard1
89;89;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Yuka Morii;https://www.pokepedia.fr/images/3/34/Carte_Expedition_89.png;https://images.pokemontcg.io/ecard1/89.png;ecard1
90;90;Uncommon;;Ymphect;Pupitar;Pokémon;Fighting;247;Yukiko Baba;https://www.pokepedia.fr/images/d/d2/Carte_Expedition_90.png;https://images.pokemontcg.io/ecard1/90.png;ecard1
91;91;Uncommon;;Feurisson;Quilava;Pokémon;Fire;156;Asuka Iwashita;https://www.pokepedia.fr/images/0/0b/Carte_Expedition_91.png;https://images.pokemontcg.io/ecard1/91.png;ecard1
92;92;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Atsuko Nishida;https://www.pokepedia.fr/images/2/2a/Carte_Expedition_92.png;https://images.pokemontcg.io/ecard1/92.png;ecard1
