rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
162;126;Uncommon;;Jongleur;Juggler;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/c/c4/Carte_Aquapolis_126.png;https://images.pokemontcg.io/ecard2/126.png;ecard2
163;127;Uncommon;;Cube Electrik 01;Lightning Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/b/b8/Carte_Aquapolis_127.png;https://images.pokemontcg.io/ecard2/127.png;ecard2
164;128;Uncommon;;Baie de Mémoire;Memory Berry;Trainer;NoColor;;Shin-ichi Yoshikawa;https://www.pokepedia.fr/images/2/20/Carte_Aquapolis_128.png;https://images.pokemontcg.io/ecard2/128.png;ecard2
165;129;Uncommon;;Cube de Métal 01;Metal Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/3/3d/Carte_Aquapolis_129.png;https://images.pokemontcg.io/ecard2/129.png;ecard2
166;130;Uncommon;;Fan Club Pokémon;Pokémon Fan Club;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/0/06/Carte_Aquapolis_130.png;https://images.pokemontcg.io/ecard2/130.png;ecard2
167;131;Uncommon;;Parc Pokémon;Pokémon Park;Trainer;NoColor;;Kazuo Yazawa;https://www.pokepedia.fr/images/f/f3/Carte_Aquapolis_131.png;https://images.pokemontcg.io/ecard2/131.png;ecard2
168;132;Uncommon;;Cube Psy 01;Psychic Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/d/d2/Carte_Aquapolis_132.png;https://images.pokemontcg.io/ecard2/132.png;ecard2
169;133;Uncommon;;Superviseur;Seer;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/8/89/Carte_Aquapolis_133.png;https://images.pokemontcg.io/ecard2/133.png;ecard2
170;134;Uncommon;;Super Suppression d'énergie 2;Super Energy Removal 2;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/3/3c/Carte_Aquapolis_134.png;https://images.pokemontcg.io/ecard2/134.png;ecard2
171;135;Uncommon;;Echarde temporelle;Time Shard;Trainer;NoColor;;Shin-ichi Yoshikawa;https://www.pokepedia.fr/images/0/01/Carte_Aquapolis_135.png;https://images.pokemontcg.io/ecard2/135.png;ecard2
172;136;Uncommon;;Volontaires de la ville;Town Volunteers;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/2/2b/Carte_Aquapolis_136.png;https://images.pokemontcg.io/ecard2/136.png;ecard2
173;137;Uncommon;;Représentant de Commerce;Traveling Salesman;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/b/b9/Carte_Aquapolis_137.png;https://images.pokemontcg.io/ecard2/137.png;ecard2
174;138;Uncommon;;Ruines Sous-marines;Undersea Ruins;Trainer;NoColor;;Midori Harada;https://www.pokepedia.fr/images/1/14/Carte_Aquapolis_138.png;https://images.pokemontcg.io/ecard2/138.png;ecard2
175;139;Uncommon;;Centrale d'énergie;Power Plant;Trainer;NoColor;;Kai Ishikawa;https://www.pokepedia.fr/images/2/29/Carte_Aquapolis_139.png;https://images.pokemontcg.io/ecard2/139.png;ecard2
176;140;Uncommon;;Cube d'Eau 01;Water Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/e/ed/Carte_Aquapolis_140.png;https://images.pokemontcg.io/ecard2/140.png;ecard2
177;141;Uncommon;;Garde faiblesse;Weakness Guard;Trainer;NoColor;;Jungo Suzuki;https://www.pokepedia.fr/images/0/04/Carte_Aquapolis_141.png;https://images.pokemontcg.io/ecard2/141.png;ecard2
178;142;Rare;;Énergie Obscurité;Darkness Energy;Energy;NoColor;;Milky Isobe;https://www.pokepedia.fr/images/b/b9/Carte_Aquapolis_142.png;https://images.pokemontcg.io/ecard2/142.png;ecard2
179;143;Rare;;Énergie Métal;Metal Energy;Energy;NoColor;;Milky Isobe;https://www.pokepedia.fr/images/7/72/Carte_Aquapolis_143.png;https://images.pokemontcg.io/ecard2/143.png;ecard2
180;144;Rare;;Énergie Multicolore;Rainbow Energy;Energy;NoColor;;Takumi Akabane;https://www.pokepedia.fr/images/b/b6/Carte_Aquapolis_144.png;https://images.pokemontcg.io/ecard2/144.png;ecard2
181;145;Uncommon;;Énergie Super;Boost Energy;Energy;NoColor;;Shin-ichi Yoshikawa;https://www.pokepedia.fr/images/9/9f/Carte_Aquapolis_145.png;https://images.pokemontcg.io/ecard2/145.png;ecard2
182;146;Uncommon;;Énergie Cristal;Crystal Energy;Energy;NoColor;;Shin-ichi Yoshikawa;https://www.pokepedia.fr/images/d/da/Carte_Aquapolis_146.png;https://images.pokemontcg.io/ecard2/146.png;ecard2
183;147;Uncommon;;Energie de Distorsion;Warp Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/5/51/Carte_Aquapolis_147.png;https://images.pokemontcg.io/ecard2/147.png;ecard2
184;148;Secret;Cristal;Hyporoi;Kingdra;Pokémon;Colorless;230;Mikio Menjo;https://www.pokepedia.fr/images/e/e6/Carte_Aquapolis_148.png;https://images.pokemontcg.io/ecard2/148.png;ecard2
185;149;Secret;Cristal;Lugia;Lugia;Pokémon;Colorless;249;Naoyo Kimura;https://www.pokepedia.fr/images/7/79/Carte_Aquapolis_149.png;https://images.pokemontcg.io/ecard2/149.png;ecard2
186;150;Secret;Cristal;Nidoking;Nidoking;Pokémon;Colorless;34;Hironobu Yoshida;https://www.pokepedia.fr/images/5/51/Carte_Aquapolis_150.png;https://images.pokemontcg.io/ecard2/150.png;ecard2
