rank;number;jap_url;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;list
51;51;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462544.jpg;Common;;;Mandibuzz;;;;;bw4
52;52;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462576.jpg;Uncommon;;;Escavalier;;;;;bw4
53;53;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462545.jpg;Common;;;Klink;;;;;bw4
54;54;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462546.jpg;Common;;;Klang;;;;;bw4
55;55;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462557.jpg;Rare;;;Klinklang;;;;;bw4
56;56;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462547.jpg;Common;;;Chansey;;;;;bw4
57;57;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462558.jpg;Rare;;;Blissey;;;;;bw4
58;58;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461843.jpg;Common;;;Eevee;;;;;bw4
59;59;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462548.jpg;Common;;;Lillipup;;;;;bw4
60;60;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462549.jpg;Common;;;Herdier;;;;;bw4
61;61;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462577.jpg;Uncommon;;;Stoutland;;;;;bw4
62;62;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1182287.jpg;Rare;;;Tornadus;;;;;bw4
63;63;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462578.jpg;Uncommon;;;Enhanced Hammer;;;;;bw4
64;64;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462579.jpg;Uncommon;;;Dark Patch;;;;;bw4
65;65;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462580.jpg;Uncommon;;;Rare Candy;;;;;bw4
66;66;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462581.jpg;Uncommon;;;Old Amber Aerodactyl;;;;;bw4
67;67;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462582.jpg;Uncommon;;;Dark Claw;;;;;bw4
68;68;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462583.jpg;Uncommon;;;Hooligans Jim & Cas;;;;;bw4
69;69;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462584.jpg;Uncommon;;;Twist Mountain;;;;;bw4
70;70;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149200.jpg;Super Rare;;;Entei;;;;;bw4
71;71;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462560.jpg;Super Rare;;;Raikou;;;;;bw4
72;72;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1182284.jpg;Super Rare;;;Darkrai;;;;;bw4
73;73;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1462561.jpg;Super Rare;;;Tornadus;;;;;bw4
74;74;;Ultra Rare;;;Gardevoir;;;;;bw4
75;75;;Ultra Rare;;;Archeops;;;;;bw4
76;76;;Ultra Rare;;;Pokémon Catcher;;;;;bw4
