rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
16;16;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Naoyo Kimura;https://www.pokepedia.fr/images/thumb/0/09/Carte_Soleil_et_Lune_Alliance_Infaillible_16.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_16.png;https://images.pokemontcg.io/sm10/16_hires.png;sm10
17;17;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;kodama;https://www.pokepedia.fr/images/thumb/2/22/Carte_Soleil_et_Lune_Alliance_Infaillible_17.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_17.png;https://images.pokemontcg.io/sm10/17_hires.png;sm10
18;18;Common;;Larvibule;Grubbin;Pokémon;Grass;736;Yuka Morii;https://www.pokepedia.fr/images/thumb/c/c5/Carte_Soleil_et_Lune_Alliance_Infaillible_18.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_18.png;https://images.pokemontcg.io/sm10/18_hires.png;sm10
19;19;Rare Holo;;Katagami;Kartana;Pokémon;Grass;798;Shin Nagasawa;https://www.pokepedia.fr/images/thumb/f/f8/Carte_Soleil_et_Lune_Alliance_Infaillible_19.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_19.png;https://images.pokemontcg.io/sm10/19_hires.png;sm10
20;20;Ultra;GX;Reshiram et Dracaufeu-GX;Reshiram & Charizard-GX;Pokémon;Fire;6;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/2/21/Carte_Soleil_et_Lune_Alliance_Infaillible_20.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_20.png;https://images.pokemontcg.io/sm10/20_hires.png;sm10
21;21;Common;;Caninos;Growlithe;Pokémon;Fire;58;tetsuya koizumi;https://www.pokepedia.fr/images/thumb/d/d8/Carte_Soleil_et_Lune_Alliance_Infaillible_21.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_21.png;https://images.pokemontcg.io/sm10/21_hires.png;sm10
22;22;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;Shin Nagasawa;https://www.pokepedia.fr/images/thumb/c/c7/Carte_Soleil_et_Lune_Alliance_Infaillible_22.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_22.png;https://images.pokemontcg.io/sm10/22_hires.png;sm10
23;23;Common;;Darumarond;Darumaka;Pokémon;Fire;554;Yuka Morii;https://www.pokepedia.fr/images/thumb/1/1e/Carte_Soleil_et_Lune_Alliance_Infaillible_23.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_23.png;https://images.pokemontcg.io/sm10/23_hires.png;sm10
24;24;Rare;;Darumacho;Darmanitan;Pokémon;Fire;555;Midori Harada;https://www.pokepedia.fr/images/thumb/2/2f/Carte_Soleil_et_Lune_Alliance_Infaillible_24.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_24.png;https://images.pokemontcg.io/sm10/24_hires.png;sm10
25;25;Rare Holo;;Volcanion;Volcanion;Pokémon;Fire;721;Satoshi Shirai;https://www.pokepedia.fr/images/thumb/d/d7/Carte_Soleil_et_Lune_Alliance_Infaillible_25.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_25.png;https://images.pokemontcg.io/sm10/25_hires.png;sm10
26;26;Common;;Flamiaou;Litten;Pokémon;Fire;725;313;https://www.pokepedia.fr/images/thumb/3/38/Carte_Soleil_et_Lune_Alliance_Infaillible_26.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_26.png;https://images.pokemontcg.io/sm10/26_hires.png;sm10
27;27;Common;;Flamiaou;Litten;Pokémon;Fire;725;Atsuko Nishida;https://www.pokepedia.fr/images/thumb/a/aa/Carte_Soleil_et_Lune_Alliance_Infaillible_27.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_27.png;https://images.pokemontcg.io/sm10/27_hires.png;sm10
28;28;Uncommon;;Matoufeu;Torracat;Pokémon;Fire;726;tetsuya koizumi;https://www.pokepedia.fr/images/thumb/d/d9/Carte_Soleil_et_Lune_Alliance_Infaillible_28.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_28.png;https://images.pokemontcg.io/sm10/28_hires.png;sm10
29;29;Rare;;Félinferno;Incineroar;Pokémon;Fire;727;Misa Tsutsui;https://www.pokepedia.fr/images/thumb/0/03/Carte_Soleil_et_Lune_Alliance_Infaillible_29.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_29.png;https://images.pokemontcg.io/sm10/29_hires.png;sm10
30;30;Common;;Tritox;Salandit;Pokémon;Fire;757;Yusuke Ohmura;https://www.pokepedia.fr/images/thumb/e/e8/Carte_Soleil_et_Lune_Alliance_Infaillible_30.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_30.png;https://images.pokemontcg.io/sm10/30_hires.png;sm10
31;31;Rare;;Malamandre;Salazzle;Pokémon;Fire;758;hatachu;https://www.pokepedia.fr/images/thumb/2/2c/Carte_Soleil_et_Lune_Alliance_Infaillible_31.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_31.png;https://images.pokemontcg.io/sm10/31_hires.png;sm10
32;32;Rare;;Pierroteknik;Blacephalon;Pokémon;Fire;806;kawayoo;https://www.pokepedia.fr/images/thumb/f/f2/Carte_Soleil_et_Lune_Alliance_Infaillible_32.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_32.png;https://images.pokemontcg.io/sm10/32_hires.png;sm10
33;33;Common;;Carapuce;Squirtle;Pokémon;Water;7;tetsuya koizumi;https://www.pokepedia.fr/images/thumb/e/ea/Carte_Soleil_et_Lune_Alliance_Infaillible_33.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_33.png;https://images.pokemontcg.io/sm10/33_hires.png;sm10
34;34;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Hiroki Asanuma;https://www.pokepedia.fr/images/thumb/9/9d/Carte_Soleil_et_Lune_Alliance_Infaillible_34.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_34.png;https://images.pokemontcg.io/sm10/34_hires.png;sm10
35;35;Ultra;GX;Tortank-GX;Blastoise-GX;Pokémon;Water;9;sadaji;https://www.pokepedia.fr/images/thumb/b/b5/Carte_Soleil_et_Lune_Alliance_Infaillible_35.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_35.png;https://images.pokemontcg.io/sm10/35_hires.png;sm10
