rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
17;Common;;Caninos;Growlithe;ガーディ;Pokémon;Fire;58;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168838.jpg;neo4
18;Rare Holo;;Arcanin Lumineux;Light Arcanine;やさしいウインディ;Pokémon;Fire;59;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095432.jpg;neo4
19;Uncommon;;Pyroli Lumineux;Light Flareon;やさしいブースター;Pokémon;Fire;136;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125484.jpg;neo4
20;Common;;Héricendre;Cyndaquil;ヒノアラシ;Pokémon;Fire;155;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168816.jpg;neo4
21;Uncommon;;Feurisson Obscur;Dark Quilava;わるいマグマラシ;Pokémon;Fire;156;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167283.jpg;neo4
22;Rare Holo;;Typhlosion Obscur;Dark Typhlosion;わるいバクフーン;Pokémon;Fire;157;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073869.jpg;neo4
23;Common;;Limagma;Slugma;マグマッグ;Pokémon;Fire;218;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168879.jpg;neo4
24;Rare;;Volcaropod Obscur;Dark Magcargo;わるいマグカルゴ;Pokémon;Fire;219;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168822.jpg;neo4
25;Rare Holo;;Demolosse Obscur;Dark Houndoom;わるいヘルガー;Pokémon;Fire;229;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095431.jpg;neo4
26;Common;;Psykokwak;Psyduck;コダック;Pokémon;Water;54;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168866.jpg;neo4
27;Uncommon;;Akwakwak Lumineux;Light Golduck;やさしいゴルダック;Pokémon;Water;55;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168849.jpg;neo4
28;Common;;Otaria;Seel;パウワウ;Pokémon;Water;86;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168870.jpg;neo4
29;Uncommon;;Lamantine Lumineux;Light Dewgong;やさしいジュゴン;Pokémon;Water;87;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168848.jpg;neo4
30;Uncommon;;Aquali Lumineux;Light Vaporeon;やさしいシャワーズ;Pokémon;Water;134;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125503.jpg;neo4
31;Uncommon;;Amonita Obscur;Dark Omanyte;わるいオムナイト;Pokémon;Water;138;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168824.jpg;neo4
32;Rare;;Amonistar Obscur;Dark Omastar;わるいオムスター;Pokémon;Water;139;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168825.jpg;neo4
33;Common;;Kaiminus;Totodile;ワニノコ;Pokémon;Water;158;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168884.jpg;neo4
34;Uncommon;;Crocrodil Obscur;Dark Croconaw;わるいアリゲイツ;Pokémon;Water;159;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1147988.jpg;neo4
35;Rare Holo;;Aligatueur Obscur;Dark Feraligatr;わるいオーダイル;Pokémon;Water;160;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095739.jpg;neo4
36;Rare Holo;;Azumarill Lumineux;Light Azumarill;やさしいマリルリ;Pokémon;Water;184;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148502.jpg;neo4
37;Common;;Marcacrin;Swinub;ウリムー;Pokémon;Water;220;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168881.jpg;neo4
38;Rare;;Cochignon Lumineux;Light Piloswine;やさしいイノムー;Pokémon;Water;221;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168852.jpg;neo4
39;Common;;Remoraid;Remoraid;テッポウオ;Pokémon;Water;223;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168868.jpg;neo4
40;Common;;Octillery Obscur;Dark Octillery;わるいオクタン;Pokémon;Water;224;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168823.jpg;neo4
41;Common;;Demanta;Mantine;マンタイン;Pokémon;Water;226;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168860.jpg;neo4
42;Secret;Brillant;Raichu Brillant;Shining Raichu;ひかるライチュウ;Pokémon;Lightning;26;Hironobu Yoshida;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281051/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.54.08.png;neo4
43;Uncommon;;Voltali Lumineux;Light Jolteon;やさしいサンダース;Pokémon;Lightning;135;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125486.jpg;neo4
44;Rare;;Lanturn Lumineux;Light Lanturn;やさしいランターン;Pokémon;Lightning;171;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168850.jpg;neo4
45;Common;;Wattouat;Mareep;メリープ;Pokémon;Lightning;179;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168861.jpg;neo4
46;Uncommon;;Lainergie Obscur;Dark Flaaffy;わるいモココ;Pokémon;Lightning;180;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168819.jpg;neo4
47;Rare Holo;;Pharamp Obscur;Dark Ampharos;わるいデンリュウ;Pokémon;Lightning;181;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095433.jpg;neo4
48;Uncommon;;Flagadoss Lumineux;Light Slowbro;やさしいヤドラン;Pokémon;Psychic;80;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168853.jpg;neo4
49;Common;;Fantominus;Gastly;ゴース;Pokémon;Psychic;92;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168835.jpg;neo4
50;Uncommon;;Spectrum Obscur;Dark Haunter;わるいゴースト;Pokémon;Psychic;93;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168821.jpg;neo4
51;Rare Holo;;Ectoplasma Obscur;Dark Gengar;わるいゲンガー;Pokémon;Psychic;94;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073862.jpg;neo4
52;Common;;Noeunoeuf;Exeggcute;タマタマ;Pokémon;Psychic;102;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168833.jpg;neo4
53;Uncommon;;Noadkoko Obscur;Dark Exeggutor;わるいナッシー;Pokémon;Psychic;103;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168818.jpg;neo4
54;Secret;Brillant;Mewtwo Brillant;Shining Mewtwo;ひかるミュウツー;Pokémon;Psychic;150;Hironobu Yoshida;https://cdn.bulbagarden.net/upload/f/f1/ShiningMewtwoNeoDestiny109.jpg;neo4
55;Rare Holo;;Mentali Obscur;Dark Espeon;わるいエーフィ;Pokémon;Psychic;196;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073863.jpg;neo4
56;Rare;;Roigada Obscur;Dark Slowking;わるいヤドキング;Pokémon;Psychic;199;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168827.jpg;neo4
57;Rare;;Zarbi G;Unown [G];アンノーン [G];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168886.jpg;neo4
58;Rare;;Zarbi H;Unown [H];アンノーン [H];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168887.jpg;neo4
59;Rare;;Zarbi W;Unown [W];アンノーン [W];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168894.jpg;neo4
60;Rare;;Zarbi X;Unown [X];アンノーン [X];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168895.jpg;neo4
61;Uncommon;;Zarbi C;Unown [C];アンノーン [C];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168885.jpg;neo4
62;Uncommon;;Zarbi P;Unown [P];アンノーン [P];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168889.jpg;neo4
63;Uncommon;;Zarbi Q;Unown [Q];アンノーン [Q];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168890.jpg;neo4
64;Uncommon;;Zarbi Z;Unown [Z];アンノーン [Z];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168896.jpg;neo4
65;Common;;Zarbi L;Unown [L];アンノーン [L];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168888.jpg;neo4
66;Common;;Zarbi S;Unown [S];アンノーン [S];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168891.jpg;neo4
67;Common;;Zarbi T;Unown [T];アンノーン [T];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168892.jpg;neo4
68;Common;;Zarbi V;Unown [V];アンノーン [V];Pokémon;Psychic;201;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168893.jpg;neo4
69;Common;;Machoc;Machop;ワンリキー;Pokémon;Fighting;66;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148286.jpg;neo4
70;Uncommon;;Machopeur Lumineux;Light Machoke;やさしいゴーリキー;Pokémon;Fighting;67;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125489.jpg;neo4
71;Rare;;Mackogneur Lumineux;Light Machamp;やさしいカイリキー;Pokémon;Fighting;68;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148503.jpg;neo4
72;Uncommon;;Kicklee;Hitmonlee;サワムラー;Pokémon;Fighting;106;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168842.jpg;neo4
73;Common;;Tygnon;Hitmonchan;エビワラー;Pokémon;Fighting;107;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168841.jpg;neo4
74;Secret;Brillant;Kabutops Brillant;Shining Kabutops;ひかるカブトプス;Pokémon;Fighting;141;Hironobu Yoshida;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281052/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.55.33.png;neo4
75;Common;;Scorplane;Gligar;グライガー;Pokémon;Fighting;207;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168837.jpg;neo4
76;Common;;Phanpy;Phanpy;ゴマゾウ;Pokémon;Fighting;231;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168862.jpg;neo4
77;Rare Holo;;Donphan Obscur;Dark Donphan;わるいドンファン;Pokémon;Fighting;232;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073884.jpg;neo4
78;Common;;Embrylex;Larvitar;ヨーギラス;Pokémon;Fighting;246;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168846.jpg;neo4
79;Uncommon;;Ymphect Obscur;Dark Pupitar;わるいサナギラス;Pokémon;Fighting;247;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168826.jpg;neo4
80;Rare Holo;;Tyranocif Obscur;Dark Tyranitar;わるいバンギラス;Pokémon;Fighting;248;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104983.jpg;neo4
81;Uncommon;;Malosse;Houndour;デルビル;Pokémon;Darkness;228;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168843.jpg;neo4
82;Secret;Brillant;Tyranocif Brillant;Shining Tyranitar;ひかるバンギラス;Pokémon;Darkness;248;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281057/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.56.23.png;neo4
83;Secret;Brillant;Steelix Brillant;Shining Steelix;ひかるハガネール;Pokémon;Metal;208;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281051/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.56.53.png;neo4
84;Rare Holo;;Cizayox Obscur;Dark Scizor;わるいハッサム;Pokémon;Metal;212;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148449.jpg;neo4
85;Uncommon;;Rondoudou;Jigglypuff;プリン;Pokémon;Colorless;39;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168845.jpg;neo4
86;Uncommon;;Grodoudou Obscur;Dark Wigglytuff;わるいプクリン;Pokémon;Colorless;40;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168829.jpg;neo4
87;Uncommon;;Grodoudou Lumineux;Light Wigglytuff;やさしいプクリン;Pokémon;Colorless;40;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168856.jpg;neo4
88;Uncommon;;Leveinard;Chansey;ラッキー;Pokémon;Colorless;113;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168814.jpg;neo4
89;Common;;Porygon;Porygon;ポリゴン;Pokémon;Colorless;137;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168865.jpg;neo4
90;Common;;Minidraco;Dratini;ミニリュウ;Pokémon;Colorless;147;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168830.jpg;neo4
91;Rare;;Draco Lumineux;Light Dragonair;やさしいハクリュー;Pokémon;Colorless;148;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125482.jpg;neo4
92;Rare Holo;;Dracolosse Lumineux;Light Dragonite;やさしいカイリュー;Pokémon;Colorless;149;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1091161.jpg;neo4
93;Secret;Brillant;Noarfang Brillant;Shining Noctowl;ひかるヨルノズク;Pokémon;Colorless;164;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281054/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.58.18.png;neo4
94;Uncommon;;Togepi;Togepi;トゲピー;Pokémon;Colorless;175;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168883.jpg;neo4
95;Rare Holo;;Togetic Lumineux;Light Togetic;やさしいトゲチック;Pokémon;Colorless;176;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1146430.jpg;neo4
96;Common;;Girafarig;Girafarig;キリンリキ;Pokémon;Colorless;203;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168836.jpg;neo4
97;Rare;;Ursaring Obscur;Dark Ursaring;わるいリングマ;Pokémon;Colorless;217;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168828.jpg;neo4
98;Rare Holo;;Porygon2 Obscur;Dark Porygon2;わるいポリゴン２;Pokémon;Colorless;233;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104974.jpg;neo4
99;Rare Holo;;Énergie Miracle;Miracle Energy;ミラクルエネルギー;Energy;NoColor;;Milky Isobe;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106427.jpg;neo4
100;Rare;;Stade des terres brisées;Broken Ground Gym;でこぼこジム;Trainer;NoColor;;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168813.jpg;neo4
101;Rare;;Multi expéditions;EXP.ALL;学習装置;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168834.jpg;neo4
102;Rare;;L'invention du faux professeur Chen;Impostor Professor Oak's Invention;にせオーキドの発明;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168844.jpg;neo4
103;Rare;;Tour Radio;Radio Tower;ラジオとう;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168867.jpg;neo4
104;Rare;;Machine à ondes cerebrales;Thought Wave Machine (Rocket's Secret Machine);怪電波マシーン;Trainer;NoColor;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168882.jpg;neo4
105;Uncommon;;Griffes de défense;Counterattack Claws;はんげきのツメ;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168815.jpg;neo4
106;Uncommon;;Amplificateur d'Énergie;Energy Amplifier;エネルギー増幅装置;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168831.jpg;neo4
107;Uncommon;;Stade Énergie;Energy Stadium;エネルギースタジアム;Trainer;NoColor;;Hideki Kazama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168832.jpg;neo4
108;Uncommon;;Stade de la chance;Lucky Stadium;ラッキースタジアム;Trainer;NoColor;;Imakuni?;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168857.jpg;neo4
