rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;Common;;Chenipan;Caterpie;キャタピー;Pokémon;Grass;10;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169004.jpg;neo2
2;Uncommon;;Chrysacier;Metapod;トランセル;Pokémon;Grass;11;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169018.jpg;neo2
3;Rare Holo;;Papilusion;Butterfree;バタフリー;Pokémon;Grass;12;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104956.jpg;neo2
4;Common;;Aspicot;Weedle;ビードル;Pokémon;Grass;13;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169038.jpg;neo2
5;Uncommon;;Coconfort;Kakuna;コクーン;Pokémon;Grass;14;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169015.jpg;neo2
6;Rare Holo;;Dardargnan;Beedrill;スピアー;Pokémon;Grass;15;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106428.jpg;neo2
7;Uncommon;;Insécateur;Scyther;ストライク;Pokémon;Grass;123;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1173831.jpg;neo2
8;Common;;Mimigal;Spinarak;イトマル;Pokémon;Grass;167;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169030.jpg;neo2
9;Common;;Granivol;Hoppip;ハネッコ;Pokémon;Grass;187;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169012.jpg;neo2
10;Rare Holo;;Yanma;Yanma;ヤンヤンマ;Pokémon;Grass;193;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125504.jpg;neo2
11;Common;;Pomdepik;Pineco;クヌギダマ;Pokémon;Grass;204;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169023.jpg;neo2
12;Rare Holo;;Malosse;Houndour;デルビル;Pokémon;Fire;228;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073827.jpg;neo2
13;Common;;Ptitard;Poliwag;ニョロモ;Pokémon;Water;60;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169024.jpg;neo2
14;Uncommon;;Têtarte;Poliwhirl;ニョロゾ;Pokémon;Water;61;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169025.jpg;neo2
15;Common;;Kabuto;Kabuto;カブト;Pokémon;Water;140;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169014.jpg;neo2
16;Rare Holo;;Kabutops;Kabutops;カブトプス;Pokémon;Water;141;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073805.jpg;neo2
