rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
289;289;;;;Cufant ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Cufant.S4A.289.36585.png;
290;290;;;;Copperajah ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Copperajah.S4A.290.36586.png;
291;291;;;;Duraludon ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Duraludon.S4A.291.36587.png;
292;292;;;;Minccino ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Minccino.S4A.292.36588.png;
293;293;;;;Cinccino ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Cinccino.S4A.293.36589.png;
294;294;;;;Ducklett ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Ducklett.S4A.294.36590.png;
295;295;;;;Swanna ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Swanna.S4A.295.36490.png;
296;296;;;;Bunnelby ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Bunnelby.S4A.296.36591.png;
297;297;;;;Oranguru ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Oranguru.S4A.297.35865.png;
298;298;;;;Skwovet ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Skwovet.S4A.298.36592.png;
299;299;;;;Greedent ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Greedent.S4A.299.36593.png;
300;300;;;;Rookidee ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Rookidee.S4A.300.36594.png;
301;301;;;;Corvisquire ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Corvisquire.S4A.301.36595.png;
302;302;;;;Wooloo ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Wooloo.S4A.302.36596.png;
303;303;;;;Dubwool ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Dubwool.S4A.303.36597.png;
304;304;;;;Rillaboom V ;;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rillaboom-V.S4A.304.36598.png;
305;305;;;;Rillaboom VMAX ;;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rillaboom-VMAX.S4A.305.36482.png;
306;306;;;;Eldegoss V ;;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Eldegoss-V.S4A.306.36599.png;
307;307;;;;Charizard V ;;Pokemon;Fire;;;https://pod.pokellector.com/cards/301/Charizard-V.S4A.307.36600.png;
308;308;;;;Charizard VMAX ;;Pokemon;Fire;;;https://pod.pokellector.com/cards/301/Charizard-VMAX.S4A.308.35859.png;
309;309;;;;Centiskorch V ;;Pokemon;Fire;;;https://pod.pokellector.com/cards/301/Centiskorch-V.S4A.309.36601.png;
310;310;;;;Centiskorch VMAX ;;Pokemon;Fire;;;https://pod.pokellector.com/cards/301/Centiskorch-VMAX.S4A.310.36602.png;
311;311;;;;Lapras V ;;Pokemon;Water;;;https://pod.pokellector.com/cards/301/Lapras-V.S4A.311.36603.png;
312;312;;;;Lapras VMAX ;;Pokemon;Water;;;https://pod.pokellector.com/cards/301/Lapras-VMAX.S4A.312.36604.png;
313;313;;;;Boltund V ;;Pokemon;Lightning;;;https://pod.pokellector.com/cards/301/Boltund-V.S4A.313.36478.png;
314;314;;;;Toxtricity V ;;Pokemon;Lightning;;;https://pod.pokellector.com/cards/301/Toxtricity-V.S4A.314.36605.png;
315;315;;;;Toxtricity VMAX ;;Pokemon;Lightning;;;https://pod.pokellector.com/cards/301/Toxtricity-VMAX.S4A.315.36606.png;
316;316;;;;Indeedee V ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Indeedee-V.S4A.316.36491.png;
317;317;;;;Dragapult V ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Dragapult-V.S4A.317.36607.png;
318;318;;;;Dragapult VMAX ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Dragapult-VMAX.S4A.318.36608.png;
319;319;;;;Falinks V ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Falinks-V.S4A.319.36609.png;
320;320;;;;Crobat VMAX ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Crobat-VMAX.S4A.320.36610.png;
321;321;;;;Grimmsnarl V ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Grimmsnarl-V.S4A.321.36611.png;
322;322;;;;Grimmsnarl VMAX ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Grimmsnarl-VMAX.S4A.322.36612.png;
323;323;;;;Ditto V ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Ditto-V.S4A.323.36613.png;
324;324;;;;Ditto VMAX ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Ditto-VMAX.S4A.324.36614.png;
325;325;;;;Dubwool V ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Dubwool-V.S4A.325.36615.png;
326;326;;;;Cramorant V ;;Pokemon;Colorless;;;https://pod.pokellector.com/cards/301/Cramorant-V.S4A.326.36616.png;
327;327;;Gold;;Eternatus V ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Eternatus-V.S4A.327.36617.png;
328;328;;Gold;;Eternatus VMAX ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Eternatus-VMAX.S4A.328.36618.png;
329;329;;Gold;;Zacian V ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Zacian-V.S4A.329.36619.png;
330;330;;Gold;;Zamazenta V ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Zamazenta-V.S4A.330.36620.png;
