rank;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
11;Common;Nidoran ♂ de Giovanni;Giovanni's Nidoran♂;サカキのニドラン♂;Pokémon;Grass;32;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168368.jpg
12;Uncommon;Nidorino de Giovanni;Giovanni's Nidorino;サカキのニドリーノ;Pokémon;Grass;33;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168371.jpg
13;Rare Holo;Nidoking de Giovanni;Giovanni's Nidoking;サカキのニドキング;Pokémon;Grass;34;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073797.jpg
14;Common;Nosferapti de Koga;Koga's Zubat;キョウのズバット;Pokémon;Grass;41;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168411.jpg
15;Uncommon;Nosferalto de Koga;Koga's Golbat;キョウのゴルバット;Pokémon;Grass;42;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168387.jpg
16;Common;Mimitoss de Morgane;Sabrina's Venonat;ナツメのコンパン;Pokémon;Grass;48;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149258.jpg
17;Rare;Aéromite de Morgane;Sabrina's Venomoth;ナツメのモルフォン;Pokémon;Grass;49;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168542.jpg
18;Common;Tadmorv de Koga;Koga's Grimer;キョウのベトベター;Pokémon;Grass;88;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168389.jpg
19;Rare;Grotadmorv de Koga;Koga's Muk;キョウのベトベトン;Pokémon;Grass;89;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168396.jpg
20;Uncommon;Smogo de Koga;Koga's Koffing;キョウのドガース;Pokémon;Grass;109;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149223.jpg
21;Common;Smogo de Koga;Koga's Koffing;キョウのドガース;Pokémon;Grass;109;Ken Sugimori;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/7ee0ed007d3811e78c40ad86bec4252f/Ko's%20koffing%20109%20HP40%20common.jpg
22;Uncommon;Smogogo de Koga;Koga's Weezing;キョウのマタドガス;Pokémon;Grass;110;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168409.jpg
23;Common;Chétiflor d'Erika;Koga's Tangela;キョウのモンジャラ;Pokémon;Grass;114;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168406.jpg
24;Rare;Scarabrute de Giovanni;Giovanni's Pinsir;サカキのカイロス;Pokémon;Grass;127;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149208.jpg
25;Common;Salamèche d'Auguste;Blaine's Charmander;カツラのヒトカゲ;Pokémon;Fire;4;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168223.jpg
