rank;energy;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;pokedex_number;artist;jap_url;list
50;Colorless;Uncommon;;Porygon;Porygon;ポリゴン;Pokémon;137;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169266.jpg;base4
51;Colorless;Common;;Minidraco;Dratini;ミニリュウ;Pokémon;147;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169255.jpg;base4
52;Colorless;Uncommon;;Draco Obscur;Dark Dragonair;わるいハクリュー;Pokémon;148;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1160881.jpg;base4
53;Colorless;Rare Holo;;Dracolosse Obscur;Dark Dragonite;わるいカイリュー;Pokémon;149;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073833.jpg;base4
54;NoColor;Rare Holo;;Et voila les Team Rocket !;Here Comes Team Rocket!;ロケット団参上!;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104977.jpg;base4
55;NoColor;Rare Holo;;Attaque sournoise des Rocket;Rocket's Sneak Attack;ロケット団のおねーさん;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073823.jpg;base4
56;NoColor;Uncommon;;A la façon du Boss;The Boss's Way;ボスのやりかた;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169272.jpg;base4
57;NoColor;Uncommon;;Défi !;Challenge!;たたきつけろ!挑戦状;Trainer;;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110409.jpg;base4
58;NoColor;Uncommon;;Excavatrice;Digger;バトル場は穴だらけ!;Trainer;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110408.jpg;base4
59;NoColor;Uncommon;;La revanche de Chen, l'imposteur;Imposter Oak's Revenge;にせオーキドの逆襲;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110413.jpg;base4
60;NoColor;Uncommon;;Raid nocturne dans les poubelles;Nightly Garbage Run;夜の廃品回収;Trainer;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110414.jpg;base4
61;NoColor;Common;;Attaque au gaz gluant;Goop Gas Attack;まきちらせ!ベトベトガス;Trainer;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110412.jpg;base4
62;NoColor;Common;;Bonne nuit, les petits !;Sleep!;ねむれ!ねむれ!;Trainer;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169269.jpg;base4
63;NoColor;Rare Holo;;Énergie Multicolore;Rainbow Energy;レインボーエネルギー;Energy;;Takumi Akabane;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073818.jpg;base4
64;NoColor;Uncommon;;Énergie Guérisseuse;Full Heal Energy;なんでもなおし配合エネルギー;Energy;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169258.jpg;base4
65;NoColor;Uncommon;;Énergie Potion;Potion Energy;きずぐすり配合エネルギー;Energy;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169267.jpg;base4
