rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
78;78;Uncommon;;Jongleur;Juggler;ジャグラー;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169539.jpg;ecard3
79;79;Uncommon;;Gardien de la Forêt;Forest Guardian;森の番人;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169533.jpg;ecard3
80;80;Uncommon;;Baie de Mémoire;Memory Berry;思い出のみ;Trainer;NoColor;;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169552.jpg;ecard3
81;81;Uncommon;;Baie de Soin;Healing Berry;かいふくのみ;Trainer;NoColor;;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169536.jpg;ecard3
82;82;Uncommon;;Echarde temporelle;Time Shard;ときのかけら;Trainer;NoColor;;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169588.jpg;ecard3
83;83;Uncommon;;Ruines Sous-marines;Undersea Ruins;海底遺跡;Trainer;NoColor;;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169592.jpg;ecard3
84;84;Uncommon;;Forêt de Noigrumes;Apricorn Forest;ぼんぐりの森;Trainer;NoColor;;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169512.jpg;ecard3
85;85;Uncommon;;Énergie Cristal;Crystal Energy;クリスタルエネルギー;Energy;NoColor;;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169521.jpg;ecard3
86;86;Uncommon;;Énergie Super;Boost Energy;ブーストエネルギー;Energy;NoColor;;Shin-ichi Yoshikawa;https://res.cloudinary.com/dkhwpritu/image/upload/v1587842911/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_21.26.34.png;ecard3
87;87;Uncommon;;Energie de Distorsion;Warp Energy;ワープエネルギー;Energy;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1459834.jpg;ecard3
88;88;Secret;Cristal;Nidoking;Nidoking;ニドキング;Pokémon;Colorless;34;Hironobu Yoshida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/508ce9e0d98811e589709d3a5f592e6e/088.jpg;ecard3
89;89;Secret;Cristal;Hyporoi;Kingdra;キングドラ;Pokémon;Colorless;230;Mikio Menjo;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1171061.jpg;ecard3
90;90;Secret;Cristal;Lugia;Lugia;ルギア;Pokémon;Colorless;249;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2f3389e0d98611e5a28ecd0bce024de6/090.jpg;ecard3
