rank;number;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
64;64;Common;Smogogo de Jeannine;Janine's Weezing;アンズのマタドガス;Pokémon;Grass;110;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169429.jpg;ecardvs
65;65;Common;Migalos de Jeannine;Janine's Ariados;アンズのアリアドス;Pokémon;Grass;168;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169422.jpg;ecardvs
66;66;Common;Nostenfer de Jeannine;Janine's Crobat;アンズのクロバット;Pokémon;Grass;169;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169424.jpg;ecardvs
67;67;Common;Caratroc de Jeannine;Janine's Shuckle;アンズのツボツボ;Pokémon;Grass;213;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169425.jpg;ecardvs
68;68;Common;Amonistar de Pierre;Brock's Omastar;タケシのオムスター;Pokémon;Fighting;139;Kei Hoshiba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169369.jpg;ecardvs
69;69;Common;Kabutops de Pierre;Brock's Kabutops;タケシのカブトプス;Pokémon;Fighting;141;Katsura Tabata;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169368.jpg;ecardvs
70;70;Common;Typhlosion d'Auguste;Blaine's Typhlosion;カツラのバクフーン;Pokémon;Fire;157;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169367.jpg;ecardvs
71;71;Common;Volcaropod d'Auguste;Blaine's Magcargo;カツラのマグカルゴ;Pokémon;Fire;219;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169366.jpg;ecardvs
72;72;Common;Flagadoss de Clément;Will's Slowbro;イツキのヤドラン;Pokémon;Psychic;80;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169503.jpg;ecardvs
73;73;Common;Flagadoss de Clément;Will's Exeggutor;イツキのナッシー;Pokémon;Psychic;103;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169500.jpg;ecardvs
74;74;Common;Lippoutou de Clément;Will's Jynx;イツキのルージュラ;Pokémon;Psychic;124;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169502.jpg;ecardvs
75;75;Common;Xatu de Clément;Will's Xatu;イツキのネイティオ;Pokémon;Psychic;178;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169507.jpg;ecardvs
76;76;Common;Mentali de Clément;Will's Espeon;イツキのエーフィ;Pokémon;Psychic;196;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169499.jpg;ecardvs
77;77;Common;Roigada de Clément;Will's Slowking;イツキのヤドキング;Pokémon;Psychic;199;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169504.jpg;ecardvs
78;78;Common;Girafarig de Clément;Will's Girafarig;イツキのキリンリキ;Pokémon;Psychic;203;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169501.jpg;ecardvs
79;79;Common;Nostenfer de Koga;Koga's Crobat;キョウのクロバット;Pokémon;Grass;169;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169446.jpg;ecardvs
80;80;Common;Foretress de Koga;Koga's Forretress;キョウのフォレトス;Pokémon;Grass;205;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169447.jpg;ecardvs
81;81;Common;Mackogneur d'Aldo;Bruno's Machamp;シバのカイリキー;Pokémon;Fighting;68;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169373.jpg;ecardvs
82;82;Common;Kicklee d'Aldo;Bruno's Hitmonlee;シバのサワムラー;Pokémon;Fighting;106;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169371.jpg;ecardvs
83;83;Common;Tygnon d'Aldo;Bruno's Hitmonchan;シバのエビワラー;Pokémon;Fighting;107;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169370.jpg;ecardvs
84;84;Rare Holo;Steelix d'Aldo;Bruno's Steelix;シバのハガネール;Pokémon;Metal;208;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169374.jpg;ecardvs
85;85;Common;Ursaring d'Aldo;Bruno's Ursaring;シバのリングマ;Pokémon;Colorless;217;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169377.jpg;ecardvs
86;86;Common;Kapoera d'Aldo;Bruno's Hitmontop;シバのカポエラー;Pokémon;Fighting;237;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169372.jpg;ecardvs
87;87;Common;Galopa de Marion;Karen's Rapidash;カリンのギャロップ;Pokémon;Fire;78;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169441.jpg;ecardvs
88;88;Common;Magmar de Marion;Karen's Magmar;カリンのブーバー;Pokémon;Fire;126;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169440.jpg;ecardvs
89;89;Common;Pyroli de Marion;Karen's Flareon;カリンのブースター;Pokémon;Fire;136;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169438.jpg;ecardvs
90;90;Rare Holo;Tyranocif de Marion;Karen's Tyranitar;カリンのバンギラス;Pokémon;Darkness;248;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169444.jpg;ecardvs
91;91;Rare Holo;Noctali de Marion;Karen's Umbreon;カリンのブラッキー;Pokémon;Darkness;197;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169445.jpg;ecardvs
92;92;Common;Malosse de Marion;Karen's Houndoom;カリンのヘルガー;Pokémon;Fire;229;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169439.jpg;ecardvs
93;93;Rare Holo;Qulbutoké de la Team Rocket;Rocket's Wobbuffet;Ｒ団のソーナンス;Pokémon;Psychic;202;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148557.jpg;ecardvs
94;94;Rare Holo;Raikou de la Team Rocket;Rocket's Raikou;Ｒ団のライコウ;Pokémon;Lightning;243;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148555.jpg;ecardvs
95;95;Rare Holo;Entei de la Team Rocket;Rocket's Entei;Ｒ団のエンテイ;Pokémon;Fire;244;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169481.jpg;ecardvs
96;96;Rare Holo;Suicune de la Team Rocket;Rocket's Suicune;Ｒ団のスイクン;Pokémon;Water;245;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169482.jpg;ecardvs
97;97;Common;Dracaufeu de Peter;Lance's Charizard;ワタルのリザードン;Pokémon;Fire;6;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148499.jpg;ecardvs
98;98;Common;Léviator de Peter;Lance's Gyarados;ワタルのギャラドス;Pokémon;Water;130;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169451.jpg;ecardvs
99;99;Common;Ptéra de Peter;Lance's Aerodactyl;ワタルのプテラ;Pokémon;Fighting;142;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169448.jpg;ecardvs
100;100;Common;Dracolosse de Peter;Lance's Dragonite;ワタルのカイリュー;Pokémon;Colorless;149;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169450.jpg;ecardvs
101;101;Common;Pharamp de Peter;Lance's Ampharos;ワタルのデンリュウ;Pokémon;Lightning;168;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169449.jpg;ecardvs
