rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
71;71;Uncommon;;Entretien de Léo;Bill's Maintenance;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/thumb/e/e8/Carte_EX_Gardiens_de_Cristal_71.png/425px-Carte_EX_Gardiens_de_Cristal_71.png;https://images.pokemontcg.io/ex14/71_hires.png;ex14
72;72;Uncommon;;Naufragé;Castaway;Trainer;NoColor;;Kouki Saitou;https://www.pokepedia.fr/images/thumb/d/d1/Carte_EX_Gardiens_de_Cristal_72.png/425px-Carte_EX_Gardiens_de_Cristal_72.png;https://images.pokemontcg.io/ex14/72_hires.png;ex14
73;73;Uncommon;;Le Réseau de Cileo;Celio's Network;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/thumb/4/46/Carte_EX_Gardiens_de_Cristal_73.png/430px-Carte_EX_Gardiens_de_Cristal_73.png;https://images.pokemontcg.io/ex14/73_hires.png;ex14
74;74;Uncommon;;Arrêt de cristal;Cessation Crystal;Trainer;NoColor;;Takumi Akabane;https://www.pokepedia.fr/images/thumb/3/3f/Carte_EX_Gardiens_de_Cristal_74.png/429px-Carte_EX_Gardiens_de_Cristal_74.png;https://images.pokemontcg.io/ex14/74_hires.png;ex14
75;75;Uncommon;;Plage de cristal;Crystal Beach;Trainer;NoColor;;Shizurow;https://www.pokepedia.fr/images/thumb/4/47/Carte_EX_Gardiens_de_Cristal_75.png/427px-Carte_EX_Gardiens_de_Cristal_75.png;https://images.pokemontcg.io/ex14/75_hires.png;ex14
76;76;Uncommon;;Écharde de cristal;Crystal Shard;Trainer;NoColor;;Takumi Akabane;https://www.pokepedia.fr/images/thumb/2/2c/Carte_EX_Gardiens_de_Cristal_76.png/426px-Carte_EX_Gardiens_de_Cristal_76.png;https://images.pokemontcg.io/ex14/76_hires.png;ex14
77;77;Uncommon;;Double guérison totale;Double Full Heal;Trainer;NoColor;;Ryo Ueda;https://www.pokepedia.fr/images/thumb/a/ae/Carte_EX_Gardiens_de_Cristal_77.png/430px-Carte_EX_Gardiens_de_Cristal_77.png;https://images.pokemontcg.io/ex14/77_hires.png;ex14
78;78;Uncommon;;Double Boule;Dual Ball;Trainer;NoColor;;Big Mama Tagawa;https://www.pokepedia.fr/images/thumb/9/9d/Carte_EX_Gardiens_de_Cristal_78.png/425px-Carte_EX_Gardiens_de_Cristal_78.png;https://images.pokemontcg.io/ex14/78_hires.png;ex14
79;79;Uncommon;;Cercle Holon;Holon Circle;Trainer;NoColor;;Ryo Ueda;https://www.pokepedia.fr/images/thumb/0/0c/Carte_EX_Gardiens_de_Cristal_79.png/423px-Carte_EX_Gardiens_de_Cristal_79.png;https://images.pokemontcg.io/ex14/79_hires.png;ex14
80;80;Uncommon;;Baie de Mémoire;Memory Berry;Trainer;NoColor;;Shizurow;https://www.pokepedia.fr/images/thumb/d/d3/Carte_EX_Gardiens_de_Cristal_80.png/421px-Carte_EX_Gardiens_de_Cristal_80.png;https://images.pokemontcg.io/ex14/80_hires.png;ex14
81;81;Uncommon;;Echarde mystérieuse;Mysterious Shard;Trainer;NoColor;;Takumi Akabane;https://www.pokepedia.fr/images/thumb/1/10/Carte_EX_Gardiens_de_Cristal_81.png/429px-Carte_EX_Gardiens_de_Cristal_81.png;https://images.pokemontcg.io/ex14/81_hires.png;ex14
82;82;Uncommon;;Poké Balle;Poké Ball;Trainer;NoColor;;Shin-ichi Yoshikawa;https://www.pokepedia.fr/images/thumb/f/f0/Carte_EX_Gardiens_de_Cristal_82.png/430px-Carte_EX_Gardiens_de_Cristal_82.png;https://images.pokemontcg.io/ex14/82_hires.png;ex14
83;83;Uncommon;;PokéNav;PokéNav;Trainer;NoColor;;Katsura Tabata;https://www.pokepedia.fr/images/thumb/4/4f/Carte_EX_Gardiens_de_Cristal_83.png/426px-Carte_EX_Gardiens_de_Cristal_83.png;https://images.pokemontcg.io/ex14/83_hires.png;ex14
84;84;Uncommon;;Point d'échange;Warp Point;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/thumb/9/95/Carte_EX_Gardiens_de_Cristal_84.png/426px-Carte_EX_Gardiens_de_Cristal_84.png;https://images.pokemontcg.io/ex14/84_hires.png;ex14
