rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
69;69;Common;;Mascaïman;Sandile;Pokémon;Darkness;551;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_69.png;https://images.pokemontcg.io/xy1/69.png;xy1
70;70;Uncommon;;Escroco;Krokorok;Pokémon;Darkness;552;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_70.png;https://images.pokemontcg.io/xy1/70.png;xy1
71;71;Rare;;Crocorible;Krookodile;Pokémon;Darkness;553;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_71.png;https://images.pokemontcg.io/xy1/71.png;xy1
72;72;Common;;Zorua;Zorua;Pokémon;Darkness;570;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_72.png;https://images.pokemontcg.io/xy1/72.png;xy1
73;73;Rare Holo;;Zoroark;Zoroark;Pokémon;Darkness;571;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_73.png;https://images.pokemontcg.io/xy1/73.png;xy1
74;74;Uncommon;;Sepiatop;Inkay;Pokémon;Darkness;686;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_74.png;https://images.pokemontcg.io/xy1/74.png;xy1
75;75;Common;;Sepiatop;Inkay;Pokémon;Darkness;686;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_75.png;https://images.pokemontcg.io/xy1/75.png;xy1
76;76;Rare;;Sepiatroce;Malamar;Pokémon;Darkness;687;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_76.png;https://images.pokemontcg.io/xy1/76.png;xy1
77;77;Rare;;Sepiatroce;Malamar;Pokémon;Darkness;687;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_77.png;https://images.pokemontcg.io/xy1/77.png;xy1
78;78;Rare;;Yveltal;Yveltal;Pokémon;Darkness;717;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_78.png;https://images.pokemontcg.io/xy1/78.png;xy1
79;79;Ultra;EX;Yveltal-EX;Yveltal-EX;Pokémon;Darkness;717;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_79.png;https://images.pokemontcg.io/xy1/79.png;xy1
80;80;Ultra;EX;Airmure-EX;Skarmory-EX;Pokémon;Metal;227;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_80.png;https://images.pokemontcg.io/xy1/80.png;xy1
81;81;Common;;Scalpion;Pawniard;Pokémon;Metal;624;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_81.png;https://images.pokemontcg.io/xy1/81.png;xy1
82;82;Rare;;Scalproie;Bisharp;Pokémon;Metal;625;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_82.png;https://images.pokemontcg.io/xy1/82.png;xy1
83;83;Common;;Monorpale;Honedge;Pokémon;Metal;679;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_83.png;https://images.pokemontcg.io/xy1/83.png;xy1
84;84;Uncommon;;Dimoclès;Doublade;Pokémon;Metal;680;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_84.png;https://images.pokemontcg.io/xy1/84.png;xy1
85;85;Rare;;Exagide;Aegislash;Pokémon;Metal;681;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_85.png;https://images.pokemontcg.io/xy1/85.png;xy1
86;86;Rare Holo;;Exagide;Aegislash;Pokémon;Metal;681;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_86.png;https://images.pokemontcg.io/xy1/86.png;xy1
87;87;Common;;Rondoudou;Jigglypuff;Pokémon;Fairy;39;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_87.png;https://images.pokemontcg.io/xy1/87.png;xy1
88;88;Common;;Rondoudou;Jigglypuff;Pokémon;Fairy;39;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_88.png;https://images.pokemontcg.io/xy1/88.png;xy1
89;89;Rare;;Grodoudou;Wigglytuff;Pokémon;Fairy;40;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_89.png;https://images.pokemontcg.io/xy1/89.png;xy1
90;90;Rare;;Grodoudou;Wigglytuff;Pokémon;Fairy;40;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_90.png;https://images.pokemontcg.io/xy1/90.png;xy1
91;91;Uncommon;;M. Mime;Mr. Mime;Pokémon;Fairy;122;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_91.png;https://images.pokemontcg.io/xy1/91.png;xy1
92;92;Common;;Fluvetin;Spritzee;Pokémon;Fairy;682;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_92.png;https://images.pokemontcg.io/xy1/92.png;xy1
93;93;Rare Holo;;Cocotine;Aromatisse;Pokémon;Fairy;683;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_93.png;https://images.pokemontcg.io/xy1/93.png;xy1
