rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
109;109;Rare;;;Resistance Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/109.png;gym2
110;110;Rare;;;Sabrina;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/110.png;gym2
111;111;Uncommon;;;Blaine's Quiz #2;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/111.png;gym2
112;112;Uncommon;;;Blaine's Quiz #3;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/112.png;gym2
113;113;Uncommon;;;Cinnabar City Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/113.png;gym2
114;114;Uncommon;;;Fuchsia City Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/114.png;gym2
115;115;Uncommon;;;Koga's Ninja Trick;Trainer;NoColor;;Sumiyoshi Kizuki;;https://images.pokemontcg.io/gym2/115.png;gym2
116;116;Uncommon;;;Master Ball;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/116.png;gym2
117;117;Uncommon;;;Max Revive;Trainer;NoColor;;Hikaru Koike;;https://images.pokemontcg.io/gym2/117.png;gym2
118;118;Uncommon;;;Misty's Tears;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/118.png;gym2
119;119;Uncommon;;;Rocket's Minefield Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/119.png;gym2
120;120;Uncommon;;;Rocket's Secret Experiment;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/120.png;gym2
121;121;Uncommon;;;Sabrina's Psychic Control;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/121.png;gym2
122;122;Uncommon;;;Saffron City Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/122.png;gym2
123;123;Uncommon;;;Viridian City Gym;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/123.png;gym2
124;124;Common;;;Fervor;Trainer;NoColor;;Ken Sugimori;;https://images.pokemontcg.io/gym2/124.png;gym2
125;125;Common;;;Transparent Walls;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/125.png;gym2
126;126;Common;;;Warp Point;Trainer;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/126.png;gym2
127;127;Common;;;Fighting Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/127.png;gym2
128;128;Common;;;Fire Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/128.png;gym2
129;129;Common;;;Grass Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/129.png;gym2
130;130;Common;;;Lightning Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/130.png;gym2
131;131;Common;;;Psychic Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/131.png;gym2
132;132;Common;;;Water Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/gym2/132.png;gym2
