rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
103;;Common;;Fouinette;Sentret;オタチ;Pokémon;Colorless;161;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10638.JPG;dp3
104;;Rare;;Fouinar;Furret;オオタチ;Pokémon;Colorless;162;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10639.JPG;dp3
105;;Common;;Cerfrousse;Stantler;オドシシ;Pokémon;Colorless;234;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10640.JPG;dp3
106;;Uncommon;;Queulorior;Smeargle;ドーブル;Pokémon;Colorless;235;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10641.JPG;dp3
107;;Uncommon;;Ecrémeuh;Miltank;ミルタンク;Pokémon;Colorless;241;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10642.JPG;dp3
108;;Rare Holo;;Lugia;Lugia;ルギア;Pokémon;Colorless;249;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10643.JPG;dp3
109;;Common;;Spinda;Spinda;パッチール;Pokémon;Colorless;327;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10644.JPG;dp3
110;;Uncommon;;Kecleon;Kecleon;カクレオン;Pokémon;Colorless;352;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10645.JPG;dp3
111;;Common;;Draby;Bagon;タツベイ;Pokémon;Colorless;371;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10646.JPG;dp3
112;;Uncommon;;Drackhaus;Shelgon;コモルー;Pokémon;Colorless;372;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10647.JPG;dp3
113;;Rare Holo;;Drattak;Salamence;ボーマンダ;Pokémon;Colorless;373;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10648.JPG;dp3
114;;Rare Holo;;Coudlangue;Lickilicky;ベロベルト;Pokémon;Colorless;463;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10637.JPG;dp3
115;;Uncommon;;La visite du Prof. Chen;Professor Oak's Visit;オーキドはかせの訪問;Trainer;NoColor;;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10657.JPG;dp3
116;;Uncommon;;Mars de la Team Galaxie;Team Galactic's Mars;ギンガ団のマーズ;Trainer;NoColor;;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10658.JPG;dp3
117;;Uncommon;;La recherche de Rose;Roseanne's Research;ハマナのリサーチ;Trainer;NoColor;;Kanako Eo;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10659.JPG;dp3
118;;Uncommon;;Énergie Obscurité;Darkness Energy;悪エネルギー;Energy;NoColor;;Takumi Akabane;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10660.JPG;dp3
119;;Uncommon;;Énergie Métal;Metal Energy;鋼エネルギー;Energy;NoColor;;Takumi Akabane;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10661.JPG;dp3
