rank;rarety_type;fr_name;en_name;super_type;energy_type;pokedex_number;artist;jap_url
53;Common;;Sabrina's Mr. Mime;Pokémon;Psychic;122;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149255.jpg
54;Uncommon;;Sabrina's Jynx;Pokémon;Psychic;124;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168525.jpg
55;Rare Holo;;Rocket's Mewtwo;Pokémon;Psychic;150;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073812.jpg
56;Rare;;Brock's Dugtrio;Pokémon;Fighting;51;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168265.jpg
57;Common;;Blaine's Mankey;Pokémon;Fighting;56;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168244.jpg
58;Common;;Giovanni's Machop;Pokémon;Fighting;66;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168355.jpg
59;Uncommon;;Giovanni's Machoke;Pokémon;Fighting;67;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168353.jpg
60;Rare Holo;;Giovanni's Machamp;Pokémon;Fighting;68;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073796.jpg
61;Common;;Blaine's Rhyhorn;Pokémon;Fighting;111;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168258.jpg
62;Uncommon;;Koga's Pidgey;Pokémon;Colorless;16;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168404.jpg
63;Common;;Koga's Pidgey;Pokémon;Colorless;16;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168402.jpg
