rank;energy_type;rarety_type;ultra_type;fr_name;en_name;super_type;pokedex_number;artist;jap_url;list
38;Fighting;Rare Holo;;Kicklee;Hitmonlee;Pokémon;106;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104961.jpg;base3
39;Fighting;Common;;Kabuto;Kabuto;Pokémon;140;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149220.jpg;base3
40;Fighting;Rare Holo;;Kabutops;Kabutops;Pokémon;141;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093939.jpg;base3
41;Fighting;Rare Holo;;Ptera;Aerodactyl;Pokémon;142;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093932.jpg;base3
42;Colorless;Rare Holo;;Métamorph;Ditto;Pokémon;132;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093933.jpg;base3
43;Colorless;Rare Holo;;Dracolosse;Dragonite;Pokémon;149;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095421.jpg;base3
44;NoColor;Uncommon;;M. Fuji;Mr. Fuji;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168203.jpg;base3
45;NoColor;Common;;Recherche d'Énergie;Energy Search;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106419.jpg;base3
46;NoColor;Common;;Joueur;Gambler;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168192.jpg;base3
47;NoColor;Common;;Recyclage;Recycle;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168208.jpg;base3
48;NoColor;Common;;Mystérieux Fossile;Mysterious Fossil;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168204.jpg;base3
