rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;us_url;list
89;89;Uncommon;;Vieil Ambre;Old Amber;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/89.png;pl4
90;90;Uncommon;;La visite du Prof. Chen;Professor Oak's Visit;Trainer;NoColor;;Ken Sugimori;https://images.pokemontcg.io/pl4/90.png;pl4
91;91;Uncommon;;Zone ultime;Ultimate Zone;Trainer;NoColor;;Yusuke Ishikawa;https://images.pokemontcg.io/pl4/91.png;pl4
92;92;Common;;Fossile Dôme;Dome Fossil;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/92.png;pl4
93;93;Common;;Fossile Nautile;Helix Fossil;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/93.png;pl4
94;94;Ultra;Niv.X;Arceus Niv.X;Arceus;Pokémon;Colorless;493;Shizurow;https://images.pokemontcg.io/pl4/94.png;pl4
95;95;Ultra;Niv.X;Arceus Niv.X;Arceus;Pokémon;Colorless;493;Ryo Ueda;https://images.pokemontcg.io/pl4/95.png;pl4
96;96;Ultra;Niv.X;Arceus Niv.X;Arceus;Pokémon;Colorless;493;Ryo Ueda;https://images.pokemontcg.io/pl4/96.png;pl4
97;97;Ultra;Niv.X;Ectoplasma Niv.X;Gengar;Pokémon;Psychic;94;Shizurow;https://images.pokemontcg.io/pl4/97.png;pl4
98;98;Ultra;Niv.X;Drattak Niv.X;Salamence;Pokémon;Colorless;373;Ryo Ueda;https://images.pokemontcg.io/pl4/98.png;pl4
99;99;Ultra;Niv.X;Bouldeneu Niv.X;Tangrowth;Pokémon;Grass;465;Ryo Ueda;https://images.pokemontcg.io/pl4/99.png;pl4
100;SH10;Secret;;Draby;Bagon;Pokémon;Colorless;371;Naoyo Kimura;https://images.pokemontcg.io/pl4/SH10.png;pl4
101;SH11;Secret;;Ponyta;Ponyta;Pokémon;Fire;77;Kanako Eo;https://images.pokemontcg.io/pl4/SH11.png;pl4
102;SH12;Secret;;Lixy;Shinx;Pokémon;Lightning;403;sui;https://images.pokemontcg.io/pl4/SH12.png;pl4
103;AR1;Secret;;Arceus;Arceus;Pokémon;Darkness;493;kawayoo;https://images.pokemontcg.io/pl4/AR1.png;pl4
104;AR2;Secret;;Arceus;Arceus;Pokémon;Grass;493;Shin Nagasawa;https://images.pokemontcg.io/pl4/AR2.png;pl4
105;AR3;Secret;;Arceus;Arceus;Pokémon;Fire;493;Wataru Kawahara;https://images.pokemontcg.io/pl4/AR3.png;pl4
106;AR4;Secret;;Arceus;Arceus;Pokémon;Water;493;Kouki Saitou;https://images.pokemontcg.io/pl4/AR4.png;pl4
107;AR5;Secret;;Arceus;Arceus;Pokémon;Colorless;493;Mitsuhiro Arita;https://images.pokemontcg.io/pl4/AR5.png;pl4
108;AR6;Secret;;Arceus;Arceus;Pokémon;Lightning;493;Wataru Kawahara;https://images.pokemontcg.io/pl4/AR6.png;pl4
109;AR7;Secret;;Arceus;Arceus;Pokémon;Psychic;493;Kagemaru Himeno;https://images.pokemontcg.io/pl4/AR7.png;pl4
110;AR8;Secret;;Arceus;Arceus;Pokémon;Fighting;493;Hajime Kusajima;https://images.pokemontcg.io/pl4/AR8.png;pl4
111;AR9;Secret;;Arceus;Arceus;Pokémon;Metal;493;TOKIYA;https://images.pokemontcg.io/pl4/AR9.png;pl4
