rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
55;55;Ultra;ex;Ptera ex;Aerodactyl ex;プテラex;Pokémon;Colorless;142;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471742.jpg;ex4
56;56;Common;;Insolourdo;Dunsparce;ノコッチ;Pokémon;Colorless;206;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471743.jpg;ex4
57;57;Uncommon;;Lineon;Linoone;マッスグマ;Pokémon;Colorless;264;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471744.jpg;ex4
58;58;Uncommon;;Hélédelle;Swellow;オオスバメ;Pokémon;Colorless;277;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471745.jpg;ex4
59;59;Common;;Skitty;Skitty;エネコ;Pokémon;Colorless;300;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471746.jpg;ex4
60;60;Uncommon;;Delcatty;Delcatty;エネコロロ;Pokémon;Colorless;301;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471747.jpg;ex4
61;61;Rare;;Mangriff de Team Magma;Team Magma's Zangoose;マグマ団のザングース;Pokémon;Colorless;335;Zu-Ka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471802.jpg;ex4
62;62;Rare;;Noctali;Umbreon;ブラッキー;Pokémon;Darkness;197;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471749.jpg;ex4
63;63;Uncommon;;Cornèbre;Murkrow;ヤミカラス;Pokémon;Darkness;198;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471750.jpg;ex4
64;64;Uncommon;;Foretress;Forretress;フォレトス;Pokémon;Metal;205;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1475223.jpg;ex4
