rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
11;/011;/054;Uncommon;;Hypotrempe;Horsea;タッツー;Pokémon;Water;116;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471617.jpg;ex3
12;/012;/054;Rare;;Hypocéan;Seadra;シードラ;Pokémon;Water;117;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471618.jpg;ex3
13;/013;/054;Common;;Magicarpe;Magikarp;コイキング;Pokémon;Water;129;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471619.jpg;ex3
14;/014;/054;Rare;;Léviator;Gyarados;ギャラドス;Pokémon;Water;130;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471620.jpg;ex3
15;/015;/054;Ultra;ex;Hyporoi ex;Kingdra ex;キングドラex;Pokémon;Water;230;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1171062.jpg;ex3
16;/016;/054;Common;;Barloche;Barboach;ドジョッチ;Pokémon;Water;339;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471621.jpg;ex3
17;/017;/054;Rare;;Barbicha;Whiscash;ナマズン;Pokémon;Water;340;Tomokazu;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471622.jpg;ex3
18;/018;/054;Common;;Ecrapince;Corphish;ヘイガニ;Pokémon;Water;341;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471623.jpg;ex3
19;/019;/054;Rare Holo;;Colhomard;Crawdaunt;シザリガー;Pokémon;Water;342;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471624.jpg;ex3
20;/020;/054;Uncommon;;Stalgamin;Snorunt;ユキワラシ;Pokémon;Water;361;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471625.jpg;ex3
21;/021;/054;Common;;Magneti;Magnemite;コイル;Pokémon;Lightning;81;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471626.jpg;ex3
22;/022;/054;Rare;;Magneton;Magneton;レアコイル;Pokémon;Lightning;82;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471627.jpg;ex3
23;/023;/054;Common;;Wattouat;Mareep;メリープ;Pokémon;Lightning;179;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471628.jpg;ex3
24;/024;/054;Rare;;Lainergie;Flaaffy;モココ;Pokémon;Lightning;180;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471629.jpg;ex3
25;/025;/054;Ultra;ex;Pharamp ex;Ampharos ex;デンリュウex;Pokémon;Lightning;181;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471630.jpg;ex3
26;/026;/054;Rare Holo;;Posipi;Plusle;プラスル;Pokémon;Lightning;311;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471631.jpg;ex3
27;/027;/054;Rare Holo;;Negapi;Minun;マイナン;Pokémon;Lightning;312;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471632.jpg;ex3
28;/028;/054;Rare;;Girafarig;Girafarig;キリンリキ;Pokémon;Psychic;203;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471678.jpg;ex3
29;/029;/054;Common;;Spoink;Spoink;バネブー;Pokémon;Psychic;325;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471633.jpg;ex3
