rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
62;62;Common;;Skitty;Skitty;1;Pokémon;Colorless;300;Satoshi Ohta;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477942.jpg;ex11
63;63;Rare Holo;;Delcatty;Delcatty;1;Pokémon;Colorless;301;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477943.jpg;ex11
64;64;Rare;;Spinda;Spinda;1;Pokémon;Colorless;327;Motofumi Fujiwara;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/753228/064%20spinda.jpg?1501971527;ex11
65;65;Uncommon;;Vibraninf;Vibrava;1;Pokémon;Colorless;329;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477945.jpg;ex11
66;66;Ultra;ex;Libegon ex;Flygon ex;1;Pokémon;Colorless;330;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477946.jpg;ex11
67;67;Common;;Tylton;Swablu;1;Pokémon;Colorless;333;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477947.jpg;
68;68;Ultra;Ex;Altaria ex;Altaria ex;1;Pokémon;Colorless;334;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477948.jpg;
69;69;Uncommon;;Kecleon;Kecleon;1;Pokémon;Colorless;352;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477949.jpg;ex11
70;70;Uncommon;;Pifeuil;Nuzleaf;1;Pokémon;Darkness;274;Katsura Tabata;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477950.jpg;ex11
71;71;Rare Holo;;Tengalice;Shiftry;1;Pokémon;Darkness;275;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477951.jpg;ex11
72;72;Rare;;Absol;Absol;1;Pokémon;Darkness;359;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477952.jpg;ex11
73;73;Common;;Galekid;Aron;1;Pokémon;Metal;304;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477953.jpg;ex11
