Visuels;Jap;bloc;rank;size;jap_release;code;ref_code;en_name;jap_name;promo;fr_name
V-U;;XY;150;78;March 18, 2016;xy10;;Awakening of Psychic Kings;めざめる超王;false;
V-U;;XY;153;131;April 16, 2016;cp4;;Premium Champion Pack: EX x M x BREAK;プレミアムチャンピオンパック EX×M×BREAK;false;
V-U;;XY;154;54;June 17, 2016;xy11a;;Ruthless Rebel;爆熱の闘士;false;
V-U;;XY;155;54;June 17, 2016;xy11b;;Explosive Warrior;冷酷の反逆者;false;
V-U;;XY;156;36;July 16, 2016;cp5;;Mythical / Legendary Dream Holo Collection;幻・伝説ドリームキラコレクション;false;
V-U;;XY;157;87;September 16, 2016;cp6;;Expansion Pack 20th Anniversary;拡張パック 20th Anniversary;false;
V-U;;XY;158;171;April 21, 2017;xy;;The Best of XY;ハイクラスパック THE BEST OF XY;false;
V-U;;Sun & Moon;161;60;December 9, 2016;sm1s;;Collection Sun;コレクションサン;false;
V-U;;Sun & Moon;162;60;December 9, 2016;sm1m;;Collection Moon;コレクションムーン;false;
V-U;;Sun & Moon;167;50;March 17, 2017;sm2k;;Islands Await You;キミを待つ島々;false;
V-U;;Sun & Moon;168;50;March 17, 2017;sm2l;;Alolan Moonlight;アローラの月光;false;
;;Sun & Moon;170;49;April 21, 2017;sm2p;;Facing a New Trial;強化拡張パック 新たなる試練の向こう;false;
V-U;;Sun & Moon;174;51;June 16, 2017;sm3h;;Rainbow Battle;闘う虹を見たか;false;
V-U;;Sun & Moon;175;51;June 16, 2017;sm3n;;Consuming Darkness;光を喰らう闇;false;
V-U;;Sun & Moon;176;72;July 15, 2017;sm3p;;Strength Expansion Pack Shining Legends;強化拡張パック ひかる伝説;false;
V-U;;Sun & Moon;177;50;September 15, 2017;sm4s;;The Awoken Hero;覚醒の勇者;false;
V-U;;Sun & Moon;178;50;September 15, 2017;sm4a;;The Transdimensional Beast;超次元の暴獣;false;
V-U;;Sun & Moon;179;114;October 20, 2017;sm4p;;GX Battle Boost;ハイクラスパック GXバトルブースト;false;
V-U;;Sun & Moon;181;66;December 8, 2017;sm5s;;Ultra Sun;ウルトラサン;false;
V-U;;Sun & Moon;182;66;December 8, 2017;sm5m;;Ultra Moon;ウルトラムーン;false;
V-U;;Sun & Moon;184;50;January 19, 2018;sm5p;;Ultra Force;強化拡張パック ウルトラフォース;false;
V-U;;Sun & Moon;188;94;March 2, 2018;sm6;;Forbidden Light;禁断の光;false;
V-U;;Sun & Moon;189;53;April 6, 2018;sm6a;;Strength Expansion Pack Dragon Storm;強化拡張パック ドラゴンストーム;false;
V-U;;Sun & Moon;190;66;May 3, 2018;sm6b;;Champion Road;強化拡張パック チャンピオンロード;false;
V-U;;Sun & Moon;191;96;June 1, 2018;sm7;;Sky-Splitting Charisma;裂空のカリスマ;false;
V-U;;Sun & Moon;192;60;July 6, 2018;sm7a;;Thunderclap Spark;強化拡張パック 迅雷スパーク;false;
V-U;;Sun & Moon;203;50;August 3, 2018;sm7b;;Fairy Rise;強化拡張パック フェアリーライズ ;false;
V-U;;Sun & Moon;204;111;September 7, 2018;sm8;;Explosive Impact;超爆インパクト;false;
V-U;;Sun & Moon;205;52;October 5, 2018;sm8a;;Dark Order;強化拡張パック ダークオーダー;false;
V-U;;Sun & Moon;206;150;November 2, 2018;sm8b;;Ultra Shiny GX;ハイクラスパック GXウルトラシャイニー;false;
V-U;;Sun & Moon;211;95;December 7, 2018;sm9;;Tag Bolt;タッグボルト;false;
V-U;;Sun & Moon;213;55;January 11, 2019;sm9a;;Night Unison;強化拡張パック ナイトユニゾン;false;
V-U;;Sun & Moon;217;54;February 1, 2019;sm9b;;Full Metal Wall;強化拡張パック フルメタルウォール;false;
V-U;;Sun & Moon;218;95;March 1, 2019;sm10;;Double Blaze;ダブルブレイズ;false;
V-U;;Sun & Moon;227;54;April 5, 2019;sm10a;;GG End;強化拡張パック ジージーエンド;false;
V-U;;Sun & Moon;228;54;April 26, 2019;sm10b;;Sky Legends;強化拡張パック スカイレジェンド;false;
V-U;;Sun & Moon;229;24;April 26, 2019;smp2;;Detective Pikachu;ムービースペシャルパック 名探偵ピカチュウ;false;
V-U;;Sun & Moon;230;94;May 31, 2019;sm11;;Miracle Twins;ミラクルツイン;false;
V-U;;Sun & Moon;231;64;July 5, 2019;sm11a;;Remix Bout;強化拡張パック リミックスバウト;false;
V-U;;Sun & Moon;232;49;August 2, 2019;sm11b;;Dream League;強化拡張パック ドリームリーグ;false;
V-U;;Sun & Moon;233;95;September 6, 2019;sm12;;Alter Genesis;オルタージェネシス;false;
V-U;;Sun & Moon;234;173;October 4, 2019;sm12a;;Tag Team GX All Stars;ハイクラスパック TAG TEAM GXタッグオールスターズ;false;
V-U;;Sword & Shield;243;60;December 6, 2019;s1w;;Sword;ソード;false;
V-U;;Sword & Shield;244;60;December 6, 2019;s1h;;Shield;シールド;false;
V-U;;Sword & Shield;247;70;February 7, 2020;s1a;;VMAX Rising;強化拡張パック VMAXライジング;false;
V-U;;Sword & Shield;248;96;March 6, 2020;s2;;Rebellion Crash;反逆クラッシュ;false;
V-U;;Sword & Shield;252;70;April 24, 2020;s2a;;Explosive Flame Walker;強化拡張パック 爆炎ウォーカー;false;
V-U;;Sword & Shield;253;100;June 5, 2020;s3;;Infinity Zone;ムゲンゾーン;false;
V-U;;Sword & Shield;254;76;July 10, 2020;s3a;;Legendary Heartbeat;強化拡張パック 伝説の鼓動;false;
V-U;;Sword & Shield;265;100;September 18, 2020;s4;;Electrifying Tackle;仰天のボルテッカー;false;
V-U;;Sword & Shield;267;190;November 20, 2020;s4a;;Shiny Star V;ハイクラスパック シャイニースターV;false;
;;Sword & Shield;271;70;January 22, 2021;s5l;;Single Strike Master;一撃マスター;false;
;;Sword & Shield;272;70;January 22, 2021;s5r;;Rapid Strike Master;連撃マスター;false;
;;Black & White;62;9;September 18, 2010;bwmdc;;McDonald's Collection;コレクションシート 旅立ちの仲間;true;
;;Black & White;63;37;October 29, 2010;bwhs;;Beginning Set;はじめてセット;true;
;;Black & White;64;229;December 1, 2010;bwpromo;;BW-P Promotional cards;;true;
;;Black & White;67;;March 18, 2011;bwbsd;;Battle Strength Decks;バトル強化デッキ;true;
;;Black & White;68;14;March 18, 2011;vbsd;bwbsd;Virizion Battle Strength Deck;;true;
;;Black & White;69;14;March 18, 2011;tbsd;bwbsd;Terrakion Battle Strength Deck;;true;
;;Black & White;70;14;March 18, 2011;cbsd;bwbsd;Cobalion Battle Strength Deck;;true;
;;Black & White;71;21;June 17, 2011;bwbtdv;;Battle Theme Deck: Victini;バトルテーマデッキ ビクティニ;true;
;;Black & White;73;34;August 5, 2011;hs+;;Beginning Set Plus Version;はじめてセット;true;
;;Black & White;76;18;October 21, 2011;bkr;;Reshiram-EX Battle Strength Deck;バトル強化デッキ６０「レシラムＥＸ」;true;
;;Black & White;77;18;October 21, 2011;bkz;;Zekrom-EX Battle Strength Deck;バトル強化デッキ６０「ゼクロムＥＸ」;true;
;;Black & White;78;34;November 18, 2011;hsp;;Beginning Set Pikachu;はじめてセット;true;
;;Black & White;79;20;November 18, 2011;bgs;;Battle Gift Set: Thundurus vs Tornadus;バトルギフトセット「ボルトロスＶＳトルネロス」;true;
;;Black & White;81;20;January 27, 2012;bwds;;Dragon Vault;ドラゴンセレクション;true;
;;Black & White;84;15;March 16, 2012;hhd;;Hydreigon Half Deck;サザンドラデッキ30;true;
;;Black & White;85;15;March 16, 2012;ghd;;Garchomp Half Deck;ガブリアスデッキ30;true;
;;Black & White;86;15;April 20, 2012;kld;;Keldeo Battle Strength Deck;バトル強化デッキ30 ケルディオ;true;
;;Black & White;87;34;April 20, 2012;hsz;;National Beginning Set;はじめてセット 全国図鑑版セット;true;
;;Black & White;88;14;;;;Snivy Half Deck;;true;
;;Black & White;89;14;;;;Tepig Half Deck;;true;
;;Black & White;90;14;;;;Oshawott Half Deck;;true;
;;Black & White;94;17;September 14, 2012;ppd;;Team Plasma's Powered Half Deck;プラズマ団パワードデッキ30;true;
;;Black & White;95;46;September 14, 2012;mdb;;Master Deck Build Box EX;40枚　マスターデッキビルドBOX EX;true;
;;Black & White;96;18;October 19, 2012;bkb;;Black Kyurem-EX Battle Strength Deck;バトル強化デッキ６０ ブラックキュレムＥＸ;true;
;;Black & White;97;18;October 19, 2012;bkw;;White Kyurem-EX Battle Strength Deck;バトル強化デッキ６０ ホワイトキュレムＥＸ;true;
;;Black & White;98;16;November 16, 2012;pbg;;Team Plasma Battle Gift Set;プラズマ団バトルギフトセット;true;
;;Black & White;99;47;November 16, 2012;wak;;Everyone's Exciting Battle;みんなのWAKUWAKUバトル;true;
;;Black & White;102;20;February 1, 2013;sc;;Shiny Collection;シャイニーコレクション;true;
;;Black & White;104;18;March 15, 2013;k+k;;Blastoise + Kyurem-EX Combo Deck;最強爆流コンボデッキ60 カメックス＋キュレムEX;true;
;;Black & White;106;;July 13, 2013;mg;;Mewtwo vs Genesect Deck Kit;;true;
;;Black & White;107;16;July 13, 2013;mgm;;Mewtwo Half Deck;;true;
;;Black & White;108;16;July 13, 2013;mgg;;Genesect Half Deck;;true;
;;XY;109;453;August 1, 2013;xypromo;;XY-P Promotional cards;;true;
V-U;;XY;110;39;November 8, 2013;hxy;;XY Beginning Set;はじめてセット;true;
;;XY;111;;November 8, 2013;;;Chespin Half Deck (Boys);;true;
;;XY;112;;November 8, 2013;;;Fennekin Half Deck (Boys);;true;
;;XY;113;;November 8, 2013;;;Froakie Half Deck (Boys);;true;
;;XY;114;;November 8, 2013;;;Chespin Half Deck (Girls);;true;
;;XY;115;;November 8, 2013;;;Fennekin Half Deck (Girls);;true;
;;XY;116;;November 8, 2013;;;Froakie Half Deck (Girls);;true;
;;XY;119;14;January 31, 2014;x30;;Xerneas Half Deck;ゼルネアスデッキ30;true;
;;XY;120;14;January 31, 2014;y30;;Yveltal Half Deck;イベルタルデッキ30;true;
;;XY;122;21;March 15, 2014;xya;;M Charizard-EX Mega Battle Deck;メガバトルデッキ60 MリザードンEX;true;
;;XY;125;18;September 13, 2014;xyb;;Hyper Metal Chain Deck;ハイパーメタルチェーンデッキ;true;
;;XY;126;23;November 14, 2014;xyc;;Super Legend Set : Xerneas-EX & Yveltal-EX;スーパーレジェンドセット60 ゼルネアスEX・イベルタルEX;true;
;;XY;131;18;March 14, 2015;xyd;;M Rayquaza-EX Mega Battle Deck;メガバトルデッキ60 MレックウザEX;true;
;;XY;134;22;July 18, 2015;;;Emboar-EX vs Togekiss-EX Deck Kit;対戦スタートセット30「エンブオーEX VS トゲキッスEX;true;
;;XY;135;14;July 18, 2015;;;Emboar-EX Half Deck;;true;
;;XY;136;14;July 18, 2015;;;Togekiss-EX Half Deck;;true;
;;XY;137;49;August 7, 2015;;;M Master Deck Build Box Power Style;MマスターデッキビルドBOX パワースタイル;true;
;;XY;138;49;August 7, 2015;;;M Master Deck Build Box Speed Style;MマスターデッキビルドBOX スピードスタイル;true;
;;XY;141;10;September 26, 2015;;;Raichu BREAK Evolution Pack;進化パック ライチュウBREAK;true;
;;XY;142;10;September 26, 2015;;;Noivern BREAK Evolution Pack;進化パック「オンバーンBREAK;true;
;;XY;143;16;October 9, 2015;;;Golduck BREAK + Palkia-EX Combo Deck;BREAKコンボデッキ60ゴルダックBREAK+パルキアEX;true;
;;XY;145;11;December 26, 2015;;;Grass/Fighting Battle Strength Set;バトル強化セット 草/闘;true;
;;XY;146;11;December 26, 2015;;;Fire/Lightning Battle Strength Set;バトル強化セット炎/雷;true;
;;XY;147;11;December 26, 2015;;;Water/Psychic Battle Strength Set;バトル強化セット 水/超;true;
;;XY;151;19;March 18, 2016;xyg;;Zygarde-EX Perfect Battle Deck;パーフェクトバトルデッキ60 ジガルデEX;true;
;;XY;152;26;March 18, 2016;xyh;;M Audino-EX Mega Battle Deck;メガバトルデッキ60 MメガタブンネEX;true;
;;Sun & Moon;159;408;November 1, 2016;smpromo;;SM-P Promotional;;true;
;;Sun & Moon;160;4;November 18, 2016;;;Pikachu's New Friends Collection;ピカチュウと新しい仲間たち;true;
;;Sun & Moon;163;59;December 9, 2016;;;Sun & Moon Starter Set;スターターセット;true;
;;Sun & Moon;164;18;December 9, 2016;;;Premium Trainer Box;プレミアムトレーナーボックス;true;
;;Sun & Moon;165;13;December 15, 2016;;;Rockruff Full Power Deck;イワンコ全力デッキ;true;
;;Sun & Moon;166;51;January 27, 2017;sm1p;;Strength Expansion Pack Sun & Moon;強化拡張パック サン&ムーン;true;
;;Sun & Moon;169;21;March 17, 2017;;;Tapu Bulu-GX Enhanced Starter Set;スターターセット改造 カプ・ブルルGX;true;
;;Sun & Moon;171;;April 21, 2017;;;Ash vs Team Rocket Deck Kit;30枚デッキ対戦セット「サトシVSロケット団」;true;
;;Sun & Moon;172;14;April 21, 2017;;;Ash Half Deck;サトシ;true;
;;Sun & Moon;173;14;April 21, 2017;;;Team Rocket Half Deck;ロケット団;true;
;;Sun & Moon;180;21;November 10, 2017;;;Solgaleo-GX & Lunala-GX Legendary Starter Set;スターターセット伝説 ソルガレオGX ルナアーラGX;true;
;;Sun & Moon;183;20;December 8, 2017;;;Ultra Sun & Ultra Moon Premium Trainer Box;プレミアムトレーナーボックス ウルトラサン・ウルトラムーン;true;
;;Sun & Moon;185;41;February 16, 2018;;;Ultra Sun & Ultra Moon Deck Build Boxes;デッキビルドBOX ウルトラサン ウルトラムーン;true;
;;Sun & Moon;186;28;February 16, 2018;;;Ultra Sun Deck Build Box;デッキビルドBOX ウルトラサン;true;
;;Sun & Moon;187;28;February 16, 2018;;;Ultra Moon Deck Build Box;デッキビルドBOX ウルトラムーン;true;
;;Sun & Moon;193;131;July 13, 2018;;;GX Starter Decks;GXスタートデッキ;true;
;;Sun & Moon;194;;July 13, 2018;;;Grass Lurantis-GX Deck;GXスタートデッキ 草ラランテス;true;
;;Sun & Moon;195;;July 13, 2018;;;Fire Charizard-GX Deck;GXスタートデッキ 炎リザードン;true;
;;Sun & Moon;196;;July 13, 2018;;;Water Lapras-GX Deck;GXスタートデッキ 水ラプラス;true;
;;Sun & Moon;197;;July 13, 2018;;;Lightning Raichu-GX Deck;GXスタートデッキ 雷ライチュウ;true;
;;Sun & Moon;198;;July 13, 2018;;;Psychic Mewtwo-GX Deck;GXスタートデッキ 超ミュウツー;true;
;;Sun & Moon;199;;July 13, 2018;;;Fighting Lycanroc-GX Deck;GXスタートデッキ 闘ルガルガン;true;
;;Sun & Moon;200;;July 13, 2018;;;Darkness Yveltal-GX Deck;GXスタートデッキ 悪イベルタル;true;
;;Sun & Moon;201;;July 13, 2018;;;Metal Metagross-GX Deck;GXスタートデッキ 鋼メタグロス;true;
;;Sun & Moon;202;;July 13, 2018;;;Fairy Xerneas-GX Deck;GXスタートデッキ フェアリーゼルネアス;true;
;;Sun & Moon;207;;November 23, 2018;;;Eevee-GX Starter Sets;スターターセット;true;
;;Sun & Moon;208;;November 23, 2018;;;Flareon-GX Starter Set Fire;スターターセット 炎のブースターGX;true;
;;Sun & Moon;209;;November 23, 2018;;;Vaporeon-GX Starter Set Water;スターターセット 水のシャワーズGX;true;
;;Sun & Moon;210;;November 23, 2018;;;Jolteon-GX Starter Set Lightning;スターターセット 雷のサンダースGX;true;
;;Sun & Moon;212;35;December 7, 2018;;;Tag Team GX Premium Trainer Box;プレミアムトレーナーボックス TAG TEAM GX;true;
;;Sun & Moon;214;31;January 25, 2019;;;Trainer Battle Decks;トレーナーバトルデッキ;true;
;;Sun & Moon;215;;January 25, 2019;;;Brock of Pewter City Gym Trainer Battle Deck;トレーナーバトルデッキ：ニビシティジムのタケシ;true;
;;Sun & Moon;216;;January 25, 2019;;;Misty of Cerulean City Gym Trainer Battle Deck;トレーナーバトルデッキ：ハナダシティジムのカスミ;true;
;;Sun & Moon;219;29;March 1, 2019;;;Tag Team GX Deck Build Box;デッキビルドBOX TAG TEAM GX;true;
;;Sun & Moon;220;51;March 15, 2019;;;Family Pokémon Card Game;ファミリーポケモンカードゲーム;true;
;;Sun & Moon;221;;March 15, 2019;;;Raichu Deck;;true;
;;Sun & Moon;222;;March 15, 2019;;;Charizard Deck;;true;
;;Sun & Moon;223;;March 15, 2019;;;Mewtwo Deck;;true;
;;Sun & Moon;224;31;March 31, 2019;;;Tag Team GX Starter Sets;スターターセット TAG TEAM GX;true;
;;Sun & Moon;225;;March 31, 2019;;;Espeon & Deoxys-GX Tag Team GX Starter Set;スターターセット TAG TEAM GX エーフィ＆デオキシスGX;true;
;;Sun & Moon;226;;March 31, 2019;;;Umbreon & Darkrai-GX Tag Team GX Starter Set;スターターセット TAG TEAM GX ブラッキー＆ダークライGX;true;
;;Sun & Moon;235;48;October 4, 2019;;;Extra Regulation Box;エクストラレギュレーションBOX;true;
;;Sword & Shield;236;167;November 1, 2019;spromo;;S-P Promotional cards;;true;
;;Sword & Shield;237;;November 29, 2019;;;V Starter Sets;;true;
;;Sword & Shield;238;23;November 29, 2019;;;V Starter Set Grass;スターターセットV 草;true;
;;Sword & Shield;239;23;November 29, 2019;;;V Starter Set Fire;スターターセットV 炎;true;
;;Sword & Shield;240;23;November 29, 2019;;;V Starter Set Water;スターターセットV 水;true;
;;Sword & Shield;241;24;November 29, 2019;;;V Starter Set Lightning;スターターセットV 雷;true;
;;Sword & Shield;242;24;November 29, 2019;;;V Starter Set Fighting;スターターセットV 闘;true;
;;Sword & Shield;245;24;December 6, 2019;;;Sword & Shield Premium Trainer Box;プレミアムトレーナーボックス　ソード＆シールド;true;
;;Sword & Shield;246;7;December 27, 2019;;;Zacian + Zamazenta Box;ザシアン＋ザマゼンタBOX;true;
;;Sword & Shield;249;;March 27, 2020;;;Charizard & Grimmsnarl VMAX Starter Sets;;true;
;;Sword & Shield;250;21;March 27, 2020;;;Charizard VMAX Starter Set;スターターセットVMAX　リザードン;true;
;;Sword & Shield;251;20;March 27, 2020;;;Grimmsnarl VMAX Starter Set;スターターセットVMAX　オーロンゲ;true;
;;Sword & Shield;255;127;July 10, 2020;;;V Starter Decks;Vスタートデッキ;true;
;;Sword & Shield;256;;July 10, 2020;;;Grass Venusaur V Deck;Vスタートデッキ草フシギバナ;true;
;;Sword & Shield;257;;July 10, 2020;;;Fire Incineroar V Deck;Vスタートデッキ炎ガオガエン;true;
;;Sword & Shield;258;;July 10, 2020;;;Water Wailord V Deck;Vスタートデッキ水ホエルオー;true;
;;Sword & Shield;259;;July 10, 2020;;;Lightning Pikachu V Deck;Vスタートデッキ雷ピカチュウ;true;
;;Sword & Shield;260;;July 10, 2020;;;Psychic Mew V Deck;Vスタートデッキ超ミュウ;true;
;;Sword & Shield;261;;July 10, 2020;;;Fighting Lucario V Deck;Vスタートデッキ闘ルカリオ;true;
;;Sword & Shield;262;;July 10, 2020;;;Darkness Galarian Slowbro V Deck;Vスタートデッキ悪ガラルヤドラン;true;
